_id,BusinessName,RatingValue,AddressLine2,PostCode,Geocode_Longitude,Geocode_Latitude
620cd586aa28c13b79512f6f,101 Thai Kitchen,3,London,W6 0RX,-0.244311,51.493618
620cd586aa28c13b79512f75,2020 Mezza & Grill,AwaitingInspection,London,W6 9PL,-0.222939,51.488278
620cd586aa28c13b79512f78,222 Vegan Restaurant,3,London,W14 9NU,-0.202997,51.485879
620cd586aa28c13b79512f7b,24 / 7 Supermarket,3,London,W6 0QU,-0.232831,51.492834
620cd586aa28c13b79512f7e,696 Mangal,5,London,SW6 5SA,-0.206834,51.474724
620cd586aa28c13b79512f84,A B Wines,Exempt,London,W12 7JD,-0.227413,51.50589
620cd586aa28c13b79512f87,A K  Convenience Store,5,London,W12 0BS,-0.247962,51.515983
620cd586aa28c13b79512f99,AA Fisheries,1,London,W14 9PP,-0.205252,51.488612
620cd586aa28c13b79512f9c,AB Resto And Karaoke Bar,3,London,W14 8TQ,-0.2067621,51.4921602
620cd586aa28c13b79512fa5,Abu Zaad Restaurant,4,London,W12 8LH,-0.227612,51.505579
620cd586aa28c13b79512fa8,Acorn Metro,4,London,W6 0QU,-0.232831,51.492834
620cd586aa28c13b79512fab,Acropolis,5,London,W6 7PH,-0.222373,51.500599
620cd586aa28c13b79512fae,Acton Vale Working Mens Club,5,London,W12 9DS,-0.243986,51.506571
620cd586aa28c13b79512fb1,Adams Cafe,1,London,W6 7LP,-0.222311,51.497756
620cd586aa28c13b79512fb4,Adam's Cafe,5,London,W12 9AH,-0.243386,51.504197
620cd586aa28c13b79512fb7,Admiral,Exempt,London,W6 9JG,-0.230241,51.492381
620cd586aa28c13b79512fc3,Afriknfusion,AwaitingInspection,London,SW6 1NQ,-0.200933,51.483069
620cd586aa28c13b79512fc6,Age UK Hammersmith & Fulham,3,London,W6 8NJ,-0.215608,51.486045
620cd586aa28c13b79512fcc,Ahi Poke,4,London,SW6 1BY,-0.19027502043219,51.4801756909287
620cd586aa28c13b79512fd2,Ahuja Supermarket,4,London,W14 9NX,-0.203566,51.486814
620cd586aa28c13b79512fdb,Akslar News,Exempt,London,W12 0PT,-0.247495,51.514267
620cd586aa28c13b79512fde,Al Baydar,0,London,SW6 1NR,-0.200597,51.48319
620cd586aa28c13b79512fe4,Al Ghazaleen,3,London,W14 9EX,-0.206575,51.489765
620cd586aa28c13b79512fe7,Al Rostomia,AwaitingInspection,London,W12 8DH,-0.225283,51.502855
620cd586aa28c13b79512fea,Al Santo,3,London,SW6 1AX,-0.197867,51.480828
620cd586aa28c13b79512fed,Aladdin's Bread Ltd,3,London,NW10 6UG,-0.24258,51.528869
620cd586aa28c13b79512ff0,Albalou,AwaitingInspection,London,W14 9NH,-0.207093,51.491634
620cd586aa28c13b79512ff3,Albertine,3,London,W12 7DP,-0.224894,51.506545
620cd586aa28c13b79512ff6,Alborz,2,London,W14 8XJ,-0.208411,51.495845
620cd586aa28c13b79512ffc,Al-Dimashqi,5,London,W12 7JA,-0.229574,51.506246
620cd586aa28c13b79513002,Al-Ghazal,3,London,SW6 1NN,-0.201912,51.484918
620cd586aa28c13b79513005,Ali Halal Butchers,5,London,W12 8NR,-0.231368,51.506085
620cd586aa28c13b79513008,All In 1 Food & Wine,4,London,SW6 1NL,-0.202693,51.4852
620cd586aa28c13b79513011,Allans Bakery And Cafe,3,London,W12 8LR,-0.220969,51.50484
620cd586aa28c13b79513014,Alley Restaurant Chinese Cuisine,5,London,W6 9NH,-0.240879,51.493342
620cd586aa28c13b79513017,Alma Cafe Ltd,5,London,W6 0DA,-0.226199,51.493732
620cd586aa28c13b7951301a,Al-Madinah,4,London,W12 8NR,-0.231368,51.506085
620cd586aa28c13b7951301d,AlManzel,AwaitingInspection,London,W12 7LJ,-0.231579,51.506573
620cd586aa28c13b7951302f,Ameerah Restaurant Ltd,5,London,W12 7LL,-0.234083,51.506656
620cd586aa28c13b79513038,Amigos,4,London,W12 8AA,-0.223064,51.505078
620cd586aa28c13b7951303e,Amoret Speciality Coffee,5,London,W6 0EA,-0.225524,51.493299
620cd586aa28c13b79513041,Amorino Gelato,5,London,SW6 1AA,-0.196672,51.48009
620cd586aa28c13b79513044,Amuse Bouche,5,London,SW6 4JA,-0.2004752,51.4751129
620cd586aa28c13b79513047,Anarkali,1,London,W6 9NH,-0.240821,51.493341
620cd586aa28c13b7951304a,Andover Arms,5,London,W6 0DL,-0.232821,51.496836
620cd586aa28c13b7951304d,Andrew Robson Bridge Club,3,London,SW6 4HH,-0.200597,51.47623
620cd586aa28c13b79513053,Anglesea Arms,5,London,W6 0UR,-0.235942,51.499203
620cd586aa28c13b79513056,Ankaran Food & Wine,5,London,W12 0BP,-0.24808,51.516308
620cd586aa28c13b79513059,Ankh Wellbeing Centre,4,London,W12 0JJ,-0.23720200359821,51.5076217651367
620cd586aa28c13b79513068,Antipode,5,London,W6 9PH,-0.223763,51.490422
620cd586aa28c13b79513071,Appetite,5,London,W6 9JT,-0.233318,51.492536
620cd586aa28c13b79513074,Aragon House,5,London,SW6 4XG,-0.2005648,51.4724704
620cd586aa28c13b79513077,ARC Bentworth Primary Academy,5,London,W12 7AJ,-0.231859,51.515355
620cd586aa28c13b7951308f,Aromma,3,London,SW6 4NZ,-0.209166,51.469589
620cd586aa28c13b79513095,ARRO COFFEE,AwaitingInspection,London,SW6 4RD,-0.202151,51.472234
620cd586aa28c13b79513098,Arthur's Diner,5,London,SW6 2UH,-0.191737,51.471606
620cd586aa28c13b7951309b,Artisan,4,London,W6 0RX,-0.244311,51.493618
620cd586aa28c13b7951309e,Asian Grocery Suppliers,5,London,W6 8QX,-0.21954,51.484198
620cd586aa28c13b795130a1,Ask Mummy & Daddy,5,London,SW6 7PH,-0.21777899563313,51.483570098877
620cd586aa28c13b795130a4,Askew Food & Wine,5,London,W12 9BJ,-0.243803,51.503835
620cd586aa28c13b795130a7,Askewine,Exempt,London,W12 9BJ,-0.243803,51.503835
620cd586aa28c13b795130ad,Atalian Servest Catering At Elgin Close,5,London,W12 9NH,-0.235692,51.501573
620cd586aa28c13b795130b0,Atlas Food & Wine,4,London,W12 9BL,-0.243422,51.502894
620cd586aa28c13b795130b9,AUrelia,3,London,SW6 2TE,-0.191621,51.473439
620cd586aa28c13b795130cb,Autograph At Cathnor Park Childrens Centre,5,London,W12 9HY,-0.23619300127029,51.5031547546387
620cd586aa28c13b795130e0,Autograph At Melcombe School,5,London,W6 9ER,-0.221176,51.486192
620cd586aa28c13b7951311f,Ayam Zaman,5,London,W12 7JA,-0.229574,51.506246
620cd586aa28c13b79513125,Azou,5,London,W6 9NJ,-0.243717,51.493321
620cd586aa28c13b7951312b,B & Y Tropical Foods,3,London,W12 8HA,-0.22791,51.502346
620cd586aa28c13b7951312e,B And K Newsagents,5,London,W6 7DJ,-0.221029,51.493312
620cd586aa28c13b79513131,Baba G Lebanese Grill,5,London,W6 0ED,-0.225726,51.493302
620cd586aa28c13b79513137,Baba Gari Booom,5,London,W6 9PH,-0.223763,51.490422
620cd586aa28c13b7951313a,Baba Salam Cafe,3,London,W12 8NR,-0.231367,51.506084
620cd586aa28c13b79513140,Bagel Bite,3,London,W12 8PH,-0.219407,51.503881
620cd586aa28c13b79513146,Baileys,4,London,SW6 7DU,-0.20368,51.480225
620cd586aa28c13b79513149,Bakehaus,5,London,W6 9HW,-0.227717,51.492478
620cd586aa28c13b7951315b,Basilico Ltd,3,London,SW6 5SA,-0.206834,51.474724
620cd586aa28c13b7951315e,BaxterStorey,5,London,W6 7NL,-0.224266,51.495627
620cd586aa28c13b7951316d,Bayley & Sage,1,London,SW6 4ST,-0.198106,51.473314
620cd586aa28c13b79513170,Bayley & Sage,5,London,SW6 5HQ,-0.206163,51.474938
620cd586aa28c13b79513173,Baytee Halal Supermarket,AwaitingInspection,London,W12 0NS,-0.239127,51.506651
620cd586aa28c13b79513176,Be At One,5,London,W6 7AL,-0.223751,51.493336
620cd586aa28c13b7951317c,Bears Ice Cream Company,5,London,W12 9PE,-0.238096,51.500107
620cd586aa28c13b7951317f,Beck's Cafe,3,London,NW10 6RT,-0.244439,51.528529
620cd586aa28c13b79513188,"Beijing Noodles, Burrito & Tequila",4,London,SW6 2UA,-0.191103,51.468701
620cd586aa28c13b7951318b,Beirut Meza,4,London,W12 9BL,-0.243422,51.502894
